,date,dji
584,2024-05-30,10915148.904695481
585,2024-05-31,10850261.191077542
586,2024-06-03,11012338.78918644
587,2024-06-04,10957965.838909646
588,2024-06-05,11030782.408629796
589,2024-06-06,11045171.03214926
590,2024-06-07,11055366.863226732
591,2024-06-10,11033649.465216158
592,2024-06-11,11036725.439104162
593,2024-06-12,11080802.544701636
594,2024-06-13,11002988.628675723
595,2024-06-14,10960677.318782022
596,2024-06-17,10971143.186584486
597,2024-06-18,11032005.908359094
598,2024-06-20,11039291.343622733
599,2024-06-21,11154160.299134014
600,2024-06-24,11147326.036340943
601,2024-06-25,11208290.994241882
602,2024-06-26,11112806.897293588
603,2024-06-27,11125310.820049303
604,2024-06-28,11121125.806443008
605,2024-07-01,11147812.769203277
606,2024-07-02,11125637.53114868
607,2024-07-03,11196957.23062781
608,2024-07-05,11183998.801614799
609,2024-07-08,11206354.064152723
610,2024-07-09,11196508.280681727
611,2024-07-10,11172349.439523775
612,2024-07-11,11292609.128174765
613,2024-07-12,11317672.536798337
614,2024-07-15,11418697.387289116
615,2024-07-16,11454366.682757745
616,2024-07-17,11624712.071952896
617,2024-07-18,11708346.77960647
618,2024-07-19,11547839.395046616
619,2024-07-22,11497240.29134629
620,2024-07-23,11505559.200495712
621,2024-07-24,11439245.737420289
622,2024-07-25,11330573.180174725
623,2024-07-26,11419397.482502066
624,2024-07-29,11568708.899965951
625,2024-07-30,11556310.547123298
626,2024-07-31,11598058.44705991
627,2024-08-01,11640185.287421312
628,2024-08-02,11400754.947117252
629,2024-08-05,11110827.739239205
630,2024-08-06,11019800.915146682
631,2024-08-07,11160298.911763111
632,2024-08-08,11077881.036265375
633,2024-08-09,11210928.01954399
634,2024-08-12,11253018.18825138
635,2024-08-13,11221513.903668676
636,2024-08-14,11322596.539796079
637,2024-08-15,11463457.919165896
638,2024-08-16,11529776.938552532
639,2024-08-19,
